product_id	sku	attachment_id	angle	step	approved_filename	wordpress_action
275	NM-3582	276	A	step1	original-clean-a.webp	add_gallery_image
275	NM-3582	276	A	step2	main-black-bg-a.webp	replace_featured_image
275	NM-3582	276	A	step3	luxury-promo-a.webp	add_gallery_image
275	NM-3582	276	A	step4	on-finger-a.webp	add_gallery_image
275	NM-3582	277	B	step1	original-clean-b.webp	add_gallery_image
275	NM-3582	277	B	step2	main-black-bg-b.webp	add_gallery_image
275	NM-3582	277	B	step3	luxury-promo-b.webp	add_gallery_image
275	NM-3582	277	B	step4	on-finger-b.webp	add_gallery_image
